taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
3776719	7ddf754f-d193-4cc9-b351-99906754a03b	3173228.0			Aphelandra taborensis Leonard	Leonard	Aphelandra taborensis	Aphelandra	taborensis		species		Leonard. (1953). In: Contr. U. S. Natl. Herb. 31: 181.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra
7264269	7ddf754f-d193-4cc9-b351-99906754a03b	3173228.0			Aphelandra dielsii Mildbr.	Mildbr.	Aphelandra dielsii	Aphelandra	dielsii		species		Mildbr. (1937). In: Biblioth. Bot. 29: Heft 116, 147.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra
3776581	7ddf754f-d193-4cc9-b351-99906754a03b	3173228.0			Aphelandra tomentosa Lindau	Lindau	Aphelandra tomentosa	Aphelandra	tomentosa		species		Lindau. (1895). In: Engl. Et Prantl, Natürl. Pflanzenfam. Iv. 3 b.369.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra
3777395	7ddf754f-d193-4cc9-b351-99906754a03b	3173228.0			Aphelandra puberula Leonard	Leonard	Aphelandra puberula	Aphelandra	puberula		species		Leonard. (1953). In: Contr. U. S. Natl. Herb. 31: 166.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra
3776676	7ddf754f-d193-4cc9-b351-99906754a03b	3173228.0			Aphelandra terryae Standl.	Standl.	Aphelandra terryae	Aphelandra	terryae		species		Standl. (1940). In: Publ. Field Mus. Nat. Hist., Chicago, Bot. Ser. 22: 381.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra
8299802	d9a4eedb-e985-4456-ad46-3df8472e00e8	3173125.0			Barleria pre Herbarium Practice & Following Obermeyer.	Herbarium Practice & Following Obermeyer.	Barleria pre	Barleria	pre		species			accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria
7263497	7ddf754f-d193-4cc9-b351-99906754a03b	3173125.0			Barleria linearifolia Rendle	Rendle	Barleria linearifolia	Barleria	linearifolia		species		Rendle. (1896). In: J. Bot. 397.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria
8017304	7ddf754f-d193-4cc9-b351-99906754a03b	3173125.0			Barleria hochstetteri Nees	Nees	Barleria hochstetteri	Barleria	hochstetteri		species		Nees. (1847). In: Prodr. [A. DC.] 11: 231.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria
7993758	7ddf754f-d193-4cc9-b351-99906754a03b	3173125.0			Barleria subregularis I.Darbysh.	I.Darbysh.	Barleria subregularis	Barleria	subregularis		species		I. Darbysh. (2010). In: Fl. Trop. E. Africa, Acanth. (Part 2) 423 (-424).	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria
3772827	7ddf754f-d193-4cc9-b351-99906754a03b	3173125.0			Barleria glandulifera Lindau	Lindau	Barleria glandulifera	Barleria	glandulifera		species		Lindau. (1894). In: Bot. Jahrb. Syst. 20: 22.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria
5575457	7ddf754f-d193-4cc9-b351-99906754a03b	5415359.0			Dicliptera magaliesbergensis K.Balkwill	K.Balkwill	Dicliptera magaliesbergensis	Dicliptera	magaliesbergensis		species		Balkwill, K. (1996). In: Kew Bull. 51(1): 39.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Dicliptera
5575589	7ddf754f-d193-4cc9-b351-99906754a03b	5415359.0			Dicliptera katangensis De Wild.	De Wild.	Dicliptera katangensis	Dicliptera	katangensis		species		De Wild. (1903). In: Ann. Mus. Congo, Ser. IV. 151.	accepted			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Dicliptera
